symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
GBP_JPY,bearish,15,5,True,2018-12-04 00:00:00,2018-12-04 09:30:00,144.688034,2018-12-10 15:45:00,141.64771379559713,TP3,0.23,225.47652998621564,0.92,371.11627447725647
USD_JPY,bearish,14,4,False,2018-11-19 00:00:00,2018-11-26 08:15:00,113.355984,2018-12-10 21:15:00,113.355984,SL,0.37,223.7283711949188,1.48,25.367404543390254
EUR_JPY,bearish,15,5,True,2018-12-05 00:00:00,2018-12-10 07:30:00,128.77266,2018-12-12 12:30:00,128.77266,SL,0.34,222.81018841610475,1.36,25.377222609932574
NZD_JPY,bullish,15,5,True,2018-12-04 00:00:00,2018-12-06 16:15:00,77.223934,2018-12-14 01:30:00,77.223934,SL,0.26,222.81018841610475,1.04,25.697222609932574
GBP_AUD,bearish,15,5,True,2018-12-07 00:00:00,2018-12-07 03:15:00,1.75785014,2018-12-14 02:00:00,1.75785014,SL,0.13,222.81018841610475,0.52,26.217222609932573
AUD_CAD,bullish,15,5,True,2018-12-04 00:00:00,2018-12-07 14:30:00,0.96016788,2018-12-14 02:00:00,0.96016788,SL,0.28,222.81018841610475,1.12,25.617222609932572
NZD_CHF,bullish,15,5,True,2018-11-29 00:00:00,2018-12-14 01:15:00,0.6771301200000001,2018-12-19 19:15:00,0.6771301200000001,SL,0.34,224.82134556682067,1.36,25.61856146801848
USD_JPY,bullish,15,5,True,2018-12-11 00:00:00,2018-12-17 14:45:00,112.94236599999999,2018-12-20 06:00:00,111.99784695906204,SL,0.36,225.04003262003283,1.44,-226.48003262003283
USD_CHF,bullish,15,5,True,2018-12-18 00:00:00,2018-12-18 11:00:00,0.99070828,2018-12-20 09:00:00,0.99070828,SL,0.32,225.5234746767344,1.28,25.782816961208127
EUR_JPY,bearish,15,5,True,2018-12-13 00:00:00,2018-12-13 00:00:00,128.77266,2018-12-21 12:15:00,126.80717592115184,TP3,0.36,224.82134556682067,1.44,369.51522018525446
CHF_JPY,bearish,15,5,True,2018-12-04 00:00:00,2018-12-07 21:00:00,113.88135600000001,2018-12-21 13:45:00,112.13132467926437,TP3,0.4,222.81018841610475,1.6,366.0368108865728
EUR_AUD,bullish,15,5,True,2018-12-19 00:00:00,2018-12-19 00:00:00,1.58274,2018-12-24 13:00:00,1.6178463964553969,TP3,0.21,225.5234746767344,0.84,371.6945708234545
CAD_CHF,bullish,14,4,False,2018-03-22 00:00:00,2018-12-20 18:45:00,0.7294023399999999,2018-12-24 13:15:00,0.7294023399999999,SL,0.32,227.10012007851643,1.28,25.97201440942197
USD_CHF,bullish,15,5,True,2018-12-21 00:00:00,2018-12-21 09:15:00,0.99070828,2018-12-24 13:45:00,0.99070828,SL,0.31,227.10012007851643,1.24,26.012014409421973
GBP_NZD,bearish,15,5,True,2018-12-11 00:00:00,2018-12-14 02:00:00,1.8587859,2018-12-24 16:00:00,1.8950456452711852,SL,0.1,224.81198556682065,0.4,-225.21198556682066
USD_CHF,bullish,14,4,False,2018-12-26 00:00:00,2018-12-26 00:15:00,0.99070828,2018-12-27 10:00:00,0.99070828,SL,0.25,231.87125083808002,1.0,26.8245501005696
XAG_USD,bearish,15,5,True,2018-08-28 00:00:00,2018-12-26 15:15:00,15.081964281082154,2019-01-02 08:30:00,15.51071469618777,SL,0.11,231.87125083808002,0.44,-232.31125083808
AUD_CAD,bearish,15,5,True,2018-12-17 00:00:00,2018-12-19 01:00:00,0.96830996,2019-01-02 15:15:00,0.9509693149686336,TP3,0.36,225.5234746767344,1.44,370.6737332166124
EUR_CHF,bullish,15,5,True,2017-08-15 00:00:00,2018-09-07 12:30:00,1.12064462,2019-01-02 22:30:00,1.12064462,SL,0.1,223.4402472020153,0.4,26.41282966424184
NZD_USD,bullish,15,5,True,2018-11-27 00:00:00,2018-12-20 05:45:00,0.67270776,2019-01-02 22:30:00,0.6601764020355384,SL,0.18,226.24193073468697,0.72,-226.96193073468697
GBP_CHF,bearish,15,5,True,2018-12-12 00:00:00,2018-12-31 14:45:00,1.26314496,2019-01-03 13:15:00,1.244068604292367,SL,0.13,232.11267178898515,0.52,266.4095725573336
GBP_USD,bearish,15,5,True,2018-12-11 00:00:00,2018-12-24 14:15:00,1.27124418,2019-01-04 15:45:00,1.27124418,SL,0.12,233.89815870818143,0.48,27.58777904498177
GBP_USD,bearish,15,5,True,2019-01-07 00:00:00,2019-01-07 00:00:00,1.2701955,2019-01-11 10:45:00,1.2820981126192825,SL,0.2,233.7140875655497,0.8,-234.51408756554972
GBP_NZD,bullish,15,5,True,2019-01-08 00:00:00,2019-01-11 08:15:00,1.86619498,2019-01-15 19:30:00,1.86619498,SL,0.13,233.96649878012047,0.52,27.555979853614456
GBP_USD,bearish,15,5,True,2019-01-14 00:00:00,2019-01-15 17:15:00,1.2701955,2019-01-15 20:00:00,1.2849981988151082,SL,0.16,232.36123962939558,0.64,-233.00123962939557
GBP_CHF,bearish,15,5,True,2019-01-10 00:00:00,2019-01-11 10:45:00,1.26040104,2019-01-16 14:45:00,1.2757800227451386,SL,0.15,233.96649878012047,0.6,-234.56649878012047
AUD_NZD,bearish,15,5,True,2019-01-07 00:00:00,2019-01-08 23:45:00,1.0638281200000002,2019-01-17 10:00:00,1.0638281200000002,SL,0.38,233.7140875655497,1.52,26.525690507865967
EUR_CHF,bearish,15,5,True,2019-01-09 00:00:00,2019-01-10 19:00:00,1.1314454200000001,2019-01-17 11:30:00,1.1314454200000001,SL,0.34,233.96649878012047,1.36,26.715979853614456
CAD_CHF,bearish,15,5,True,2019-01-03 00:00:00,2019-01-04 21:45:00,0.7377140600000001,2019-01-17 19:30:00,0.7493714909070981,SL,0.2,233.7140875655497,0.8,-234.51408756554972
NZD_USD,bearish,15,5,True,2019-01-03 00:00:00,2019-01-09 11:00:00,0.6772982,2019-01-23 01:15:00,0.6772982,SL,0.22,233.7140875655497,0.88,27.165690507865968
EUR_CAD,bullish,15,5,True,2018-12-06 00:00:00,2019-01-18 15:15:00,1.5075091200000001,2019-01-25 03:45:00,1.5075091200000001,SL,0.15,226.5129947225413,0.6,26.581559366704955
GBP_AUD,bullish,15,5,True,2019-01-08 00:00:00,2019-01-08 17:15:00,1.78068,2019-01-29 20:00:00,1.8284735689638112,SL,0.08,233.7140875655497,0.32,268.45120070038234
AUD_CAD,bearish,15,5,True,2019-01-03 00:00:00,2019-01-11 11:00:00,0.9542362999999999,2019-01-30 02:15:00,0.9542362999999999,SL,0.25,231.85587199203053,1.0,26.822704639043664
EUR_CHF,bearish,15,5,True,2019-01-18 00:00:00,2019-01-18 14:30:00,1.1291114,2019-01-30 02:15:00,1.138314757843207,SL,0.25,226.5129947225413,1.0,-227.5129947225413
NZD_CHF,bearish,15,5,True,2019-01-08 00:00:00,2019-01-11 10:15:00,0.67219056,2019-01-30 17:45:00,0.6830065836245579,SL,0.22,233.96649878012047,0.88,-234.84649878012047
