symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl
EUR_CHF,bearish,2023-10-27T15:00:00,0.95563528,2023-11-13T10:00:00,0.9657651014850114,0.38,384.93321643043333,1.52,-1.0039487369110291,-386.4532164304333
BTC_USD,bullish,2023-11-15T00:00:00,35434.968734375,2023-11-17T00:00:00,37388.20359975027,0.24,426.1603342636954,0.0,0.9550000000000001,406.98311922182916
GBP_JPY,bullish,2023-10-05T00:00:00,181.40367,2023-11-17T08:00:00,185.83828312998574,0.13,349.56845863732985,0.52,0.9535124516038235,333.31787799865015
XAU_USD,bearish,2023-11-16T14:00:00,1976.7869755859367,2023-11-27T01:00:00,2012.642647043706,0.12,430.2680574932301,0.48,-1.001115583626627,-430.74805749323014
AUD_CHF,bearish,2023-11-02T00:00:00,0.5821,2023-11-27T19:00:00,0.5821,0.38,389.05118235165605,1.52,0.20609305903965586,80.18074829384777
NZD_CHF,bearish,2023-11-03T20:00:00,0.53933508,2023-11-28T23:00:00,0.53933508,0.39,400.77151019827977,1.56,0.20610750774368117,82.60201714163874
AUD_NZD,bullish,2023-11-03T15:00:00,1.08583,2023-11-29T01:00:00,1.0769171362447918,0.75,401.07886898437255,3.0,-1.0074798256203243,-404.07886898437255
BTC_USD,bullish,2023-12-01T00:00:00,37718.0078125,2023-12-06T00:00:00,42995.01098453821,0.17,421.49473614668534,0.0,1.2843603707602054,541.3511355908317
GBP_NZD,bearish,2023-10-19T00:00:00,2.07567452,2023-12-07T18:00:00,2.0400588361336935,0.2,388.53473308698307,0.8,0.9529409820232946,370.25067009806827
GBP_CHF,bearish,2023-10-31T17:00:00,1.10498476,2023-12-14T13:00:00,1.10498476,0.34,390.33305072728774,1.36,0.20651579594024644,80.60994065273042
ETH_USD,bullish,2023-12-13T00:00:00,2154.738893554688,2023-12-18T00:00:00,2154.738893554688,1.72,436.7598582567648,0.0,0.21,91.7195702339206
XAU_USD,bullish,2023-12-05T15:00:00,2013.3405698242188,2023-12-22T15:00:00,2062.183326953892,0.1,444.0250648152096,0.4,0.9540991499541449,423.64393689852557
BTC_USD,bullish,2023-12-29T00:00:00,42160.69734375,2024-01-03T00:00:00,44939.383159779885,0.18,454.6940426230723,0.0,0.9550000000000001,434.23281070503407
BTC_USD,bullish,2024-01-15T00:00:00,42160.69734375,2024-01-18T00:00:00,42160.69734375,0.21,458.9483258708859,0.0,0.20999999999999996,96.37914843288603
BTC_USD,bullish,2024-02-07T00:00:00,43245.611234375,2024-02-09T00:00:00,46258.79336129101,0.3,451.977319037402,0.0,1.2700000000000002,574.0111951775007
ETH_USD,bullish,2024-01-23T00:00:00,2352.4704975585937,2024-02-13T00:00:00,2600.89205801121,2.0,451.6755644593022,0.0,0.955,431.3501640586336
BTC_USD,bullish,2024-02-26T00:00:00,52179.9023125,2024-02-28T00:00:00,56655.35306942359,0.21,469.9223294769766,0.0,1.27,596.8013584357602
USD_CHF,bullish,2024-03-14T13:00:00,0.88176922,2024-03-18T18:00:00,0.8878017589151016,0.86,471.6348606352163,3.44,0.9477062219375227,446.9712919066309
BTC_USD,bullish,2024-03-19T00:00:00,66964.9315703125,2024-03-19T00:00:00,62288.6275239111,0.1,467.6304046401405,0.0,-1.0,-467.6304046401405
EUR_JPY,bullish,2024-03-12T02:00:00,161.555264,2024-03-19T04:00:00,162.80109517906587,0.63,475.9188361411597,2.52,0.9497049794867664,451.9824885148058
EUR_NZD,bullish,2024-03-14T00:00:00,1.77797598,2024-03-19T04:00:00,1.791584365867695,0.64,475.05637938136266,2.56,0.9496111659350098,451.11884230920015
GBP_JPY,bullish,2024-03-12T02:00:00,189.367214,2024-03-19T06:00:00,190.81878115363705,0.54,475.29587036090027,2.16,0.9504554623031793,451.74755619466146
GBP_NZD,bullish,2024-03-14T02:00:00,2.0809209,2024-03-19T07:00:00,2.0982633403791136,0.5,472.9756467030954,2.0,0.9507714524755292,449.69174260145473
NZD_CAD,bullish,2024-03-15T01:00:00,0.82651008,2024-03-19T09:00:00,0.8195310031326685,0.91,476.3219961953796,3.64,-1.007641889371212,-479.9619961953796
GBP_CHF,bullish,2024-03-18T00:00:00,1.12522072,2024-03-19T09:00:00,1.12522072,0.85,474.74299539472463,3.4,0.20283823029937895,96.29602903289215
CAD_CHF,bullish,2024-03-18T00:00:00,0.65237,2024-03-19T12:00:00,0.65237,1.31,478.7858264575181,5.24,0.19905564928943245,95.3050235560788
USD_CAD,bullish,2024-03-11T12:00:00,1.3518842800000002,2024-03-19T14:00:00,1.3593101613511667,0.94,475.9314865974954,3.76,0.9470997032012254,450.7545697006059
CHF_JPY,bullish,2024-03-18T15:00:00,168.378586,2024-03-20T02:00:00,170.0138689996623,0.48,475.9565501562505,1.92,0.9509660183279972,452.61850539921926
CAD_JPY,bullish,2024-03-19T05:00:00,110.988706,2024-03-20T18:00:00,111.7893715366811,1.02,495.20435565966227,4.08,0.9467609771534299,468.8401596549765
EUR_AUD,bullish,2024-03-18T13:00:00,1.65736476,2024-03-20T22:00:00,1.65736476,0.49,480.70078990861185,1.96,0.20592261955639257,98.98716588080848
AUD_USD,bearish,2024-03-18T16:00:00,0.65389836,2024-03-21T00:00:00,0.6600338168114843,0.78,478.565631295776,3.12,-1.0065194819601906,-481.685631295776
USD_JPY,bullish,2024-03-12T05:00:00,148.079126,2024-03-21T01:00:00,150.5008308912266,0.32,469.8988108940071,1.28,0.952276009280454,447.4733644037758
EUR_USD,bullish,2024-03-19T09:00:00,1.08393012,2024-03-21T08:00:00,1.0909349762967555,0.8,509.4440943094902,3.2,0.9487186434473507,483.31911006556373
CHF_JPY,bullish,2024-03-21T08:00:00,168.635672,2024-03-21T09:00:00,168.635672,0.46,534.4993272735708,1.84,0.2065575260695169,110.40485872744985
GBP_USD,bullish,2024-03-19T09:00:00,1.2679594200000002,2024-03-21T15:00:00,1.2679594200000002,0.44,504.5042058904227,1.76,0.20651142650655663,104.18588323698874
AUD_CHF,bullish,2024-03-19T01:00:00,0.58161946,2024-03-22T02:00:00,0.5878391542352074,0.85,480.6127363569351,3.4,0.9479256972551918,455.58516322087337
NZD_JPY,bullish,2024-03-11T00:00:00,90.97824,2024-03-22T06:00:00,90.97824,0.6,474.53994677280843,2.4,0.20494247003582808,97.25338882228975
EUR_GBP,bearish,2024-03-12T07:00:00,0.85442172,2024-03-22T07:00:00,0.8584774098666152,0.93,471.4739469940167,3.72,-1.0078901496545412,-475.19394699401676
GBP_CAD,bullish,2024-03-12T07:00:00,1.72381,2024-03-22T07:00:00,1.710415608106721,0.47,472.15231423808706,1.88,-1.0039817659329568,-474.03231423808705
USD_CHF,bullish,2024-03-21T01:00:00,0.8848492,2024-03-22T20:00:00,0.8966792265871038,0.49,526.9739116073463,1.96,0.9512806507934696,501.3000855850167
EUR_CAD,bearish,2024-03-20T01:00:00,1.47236202,2024-03-25T13:00:00,1.47236202,0.87,515.0394544575051,3.48,0.20324323608631978,104.67828543607607
ETH_USD,bullish,2024-03-20T00:00:00,3183.7847485351563,2024-03-26T00:00:00,3576.1070370977905,1.44,513.5855413910849,0.0,0.9549999999999997,490.47419202848596
EUR_GBP,bearish,2024-03-28T07:00:00,0.8557978,2024-03-29T08:00:00,0.8534376486083741,2.06,552.4899848578909,8.24,0.9400857024998915,519.3879355392849
BTC_USD,bullish,2024-03-21T00:00:00,67548.59375,2024-04-02T00:00:00,67548.59375,0.1,552.4979279807529,0.0,0.21,116.0245648759581
CAD_JPY,bullish,2024-04-02T00:00:00,111.74,2024-04-04T13:00:00,112.36990074576201,1.41,558.6281899770978,5.64,0.9381873481430663,524.0979001525744
AUD_JPY,bullish,2024-04-02T09:00:00,98.986034,2024-04-04T18:00:00,100.0877520977413,0.84,561.1551052749934,3.36,0.9490123506524049,532.5431255376192
NZD_JPY,bullish,2024-04-03T15:00:00,91.1585,2024-04-04T19:00:00,91.1585,0.94,561.2305794861919,3.76,0.2033004363314588,114.09842169210029
USD_CAD,bearish,2024-03-28T13:00:00,1.35339398,2024-04-05T12:00:00,1.3630612253811418,0.76,551.032986725078,3.04,-1.0055169110983126,-554.072986725078
CHF_JPY,bullish,2024-04-04T06:00:00,167.607578,2024-04-08T11:00:00,167.607578,0.67,567.7074956886148,2.68,0.20527925908966685,116.53857409460909
GBP_USD,bearish,2024-04-03T14:00:00,1.26190092,2024-04-09T12:00:00,1.269482189946327,0.74,561.0139760282076,2.96,-1.0052761608916696,-563.9739760282076
NZD_USD,bearish,2024-04-03T17:00:00,0.6009390800000001,2024-04-09T12:00:00,0.6066137233162555,0.99,561.7896883092891,3.96,-1.0070489011856336,-565.7496883092891
EUR_CAD,bullish,2024-04-03T08:00:00,1.4654439,2024-04-09T13:00:00,1.475474299682396,0.82,560.7905276976023,3.28,0.9491511137617313,532.2749539512083
AUD_CAD,bullish,2024-03-15T08:00:00,0.88766102,2024-04-10T12:00:00,0.8974848824841714,0.71,475.56425207465645,2.84,0.949028146590897,451.3238607312973
NZD_USD,bearish,2024-04-10T12:00:00,0.60134,2024-04-10T12:00:00,0.6066082421812675,1.09,574.2383977581613,4.36,-1.0075926653756029,-578.5983977581614
EUR_USD,bearish,2024-04-03T14:00:00,1.08152206,2024-04-10T17:00:00,1.0737255370994272,0.79,559.9320992229509,3.16,0.9493564585699147,531.5751547579188
USD_CHF,bullish,2024-04-03T20:00:00,0.9029,2024-04-10T17:00:00,0.9119055036218364,0.69,564.890681733376,2.76,0.9501140989057706,536.710601055373
USD_CAD,bullish,2024-04-08T13:00:00,1.35714,2024-04-11T16:00:00,1.3702289421264708,0.65,580.0781169685914,2.6,0.9505178450557891,551.3746017050055
ETH_USD,bullish,2024-04-10T00:00:00,3458.1059541015625,2024-04-12T00:00:00,3141.269369189131,1.82,576.6425845406255,0.0,-1.0,-576.6425845406255
EUR_NZD,bullish,2024-04-10T02:00:00,1.78611566,2024-04-12T01:00:00,1.78611566,0.61,574.6636775594408,2.44,0.2057540382396143,118.23937228748255
USD_JPY,bullish,2024-04-09T06:00:00,152.20564000000002,2024-04-12T08:00:00,153.28565099794676,0.88,576.2938685043779,3.52,0.9488920051168799,546.8406444216827
GBP_JPY,bullish,2024-04-01T23:00:00,190.176018,2024-04-12T13:00:00,190.176018,0.32,559.1770236212319,1.28,0.20771092168324312,116.14717496045868
AUD_JPY,bullish,2024-04-12T12:00:00,99.025762,2024-04-12T13:00:00,99.025762,1.18,602.101391357051,4.72,0.2021607887512736,121.72129218498071
CAD_CHF,bullish,2024-04-12T12:00:00,0.66185164,2024-04-15T18:00:00,0.66185164,0.95,604.6436851090236,3.8,0.20371530689299297,123.17517387289496
