step,position,leg,symbol,side,volume,entry_time,entry_price,initial_sl,risk_distance,exit_time,exit_price,realized_R,exit_kind,pnl,swap,day_from_start,counted_toward_pass,mfe_r,mae_r
1,1000157,3,AUD_CAD,buy,0.29,2016-06-13 02:30:00+00:00,0.9450435,0.9310690282360282,0.013974,2016-06-15 13:30:00+00:00,0.9540444066465817,0.64,PARTIAL/TP,261.03,0.0,15,False,,
1,1000157,4,AUD_CAD,buy,0.010000000000000009,2016-06-13 02:30:00+00:00,0.9450435,0.9310690282360282,0.013974,2016-06-15 21:00:00+00:00,0.95622,0.8,FINAL,11.18,0.0,15,False,0.985,0.211
1,1000159,1,CAD_CHF,sell,0.82,2016-06-13 00:00:00+00:00,0.7545,0.7623343712887782,0.007834,2016-06-13 21:00:00+00:00,0.75167,0.36,PARTIAL/TP,232.06,0.0,13,False,,
1,1000159,2,CAD_CHF,sell,0.41,2016-06-13 00:00:00+00:00,0.7545,0.7623343712887782,0.007834,2016-06-14 16:45:00+00:00,0.7494076586622941,0.65,PARTIAL/TP,208.79,0.0,14,False,,
1,1000159,3,CAD_CHF,sell,0.4000000000000002,2016-06-13 00:00:00+00:00,0.7545,0.7623343712887782,0.007834,2016-06-16 06:30:00+00:00,0.7400064131157601,1.85,FINAL,579.74,0.0,16,False,1.927,0.391
1,1000167,1,USD_CAD,sell,2.48,2016-06-15 01:30:00+00:00,1.287642,1.3158987204027273,0.028257,2016-06-15 21:00:00+00:00,1.29085,-0.11,FINAL,-795.58,0.0,15,False,0.177,0.237
1,1000171,1,EUR_CAD,sell,2.75,2016-06-15 16:00:00+00:00,1.45379,1.4793193808350669,0.025529,2016-06-15 21:00:00+00:00,1.45386,-0.0,FINAL,-19.25,0.0,15,False,0.094,0.086
1,1000173,1,EUR_USD,buy,2.41,2016-06-14 06:15:00+00:00,1.1276469999999998,1.1091099756298548,0.018537,2016-06-14 21:00:00+00:00,1.12083,-0.37,FINAL,-1642.9,0.0,14,False,0.033,0.472
1,1000176,1,NAS100_USD,buy,33.26,2016-06-14 00:00:00+00:00,4423.600100000001,4291.947619672317,131.65248,2016-06-14 21:00:00+00:00,4423.0,-0.0,FINAL,-19.96,0.0,14,False,0.129,0.239
1,1000178,1,AUD_CHF,sell,5.36,2016-06-15 06:00:00+00:00,0.71212,0.7223213990390137,0.010201,2016-06-15 21:00:00+00:00,0.7121,0.0,FINAL,10.72,0.0,15,False,0.075,0.334
1,1000179,1,NZD_CHF,buy,3.47,2016-06-15 03:15:00+00:00,0.67625,0.6604684720686483,0.015782,2016-06-15 21:00:00+00:00,0.67614,-0.01,FINAL,-38.17,0.0,15,False,0.244,0.054
1,1000181,1,CHF_JPY,sell,2.31,2016-06-15 02:15:00+00:00,110.272,112.88264636223604,2.610646,2016-06-15 21:00:00+00:00,110.272,0.0,FINAL,0.0,0.0,15,False,0.252,0.029
1,1000184,1,NAS100_USD,buy,42.57,2016-06-15 00:00:00+00:00,4421.4001,4291.996003981437,129.404096,2016-06-15 21:00:00+00:00,4410.3,-0.09,FINAL,-472.53,0.0,15,False,0.174,0.138
1,1000185,1,EUR_USD,buy,1.87,2016-06-15 21:00:00+00:00,1.126,1.1090117630848653,0.016988,2016-06-16 21:00:00+00:00,1.12282,-0.19,FINAL,-594.66,0.0,16,False,0.206,0.76
1,1000188,1,USD_JPY,sell,0.35,2016-06-16 00:00:00+00:00,105.786,108.16059359653988,2.374594,2016-06-16 05:00:00+00:00,104.24251416224908,0.65,PARTIAL/TP,540.22,0.0,16,False,,
