ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial
1000785,EUR_GBP,buy,0.27,0.71983296,0.71306,2015-09-22 06:15:00+00:00,2015-10-30 19:30:00+00:00,-182.86991999999836,0.0,0.7050072968908975,0,
1000844_partial_1446233400,GBP_CAD,sell,0.01,2.0290948,2.01554,2015-10-22 08:00:00+00:00,2015-10-30 19:30:00+00:00,13.554800000000089,0.0,2.0653242414240016,0,True
1000851_partial_1446233400,AUD_USD,sell,0.01,0.71207056,0.71352,2015-10-28 00:30:00+00:00,2015-10-30 19:30:00+00:00,-1.449440000000024,0.0,0.7400101888274682,0,True
1000858_partial_1446233400,EUR_AUD,buy,0.01,1.55221,1.54128,2015-10-29 19:45:00+00:00,2015-10-30 19:30:00+00:00,-10.930000000000106,0.0,1.5061361935589703,0,True
1000861,NZD_CAD,buy,0.09,0.88322,0.8691012282707639,2015-11-02 09:15:00+00:00,2015-11-04 00:30:00+00:00,-127.06894556312528,0.0,0.8691512282707639,0,
1000858,EUR_AUD,buy,0.019999999999999997,1.55221,1.52674,2015-10-29 19:45:00+00:00,2015-11-06 19:30:00+00:00,-50.94000000000019,0.0,1.5061361935589703,0,
1000844_partial_1446838200,GBP_CAD,sell,0.01,2.0290948,2.00005,2015-10-22 08:00:00+00:00,2015-11-06 19:30:00+00:00,29.044800000000315,0.0,2.0653242414240016,0,True
1000851_partial_1446838200,AUD_USD,sell,0.01,0.71207056,0.70376,2015-10-28 00:30:00+00:00,2015-11-06 19:30:00+00:00,8.310559999999967,0.0,0.7400101888274682,0,True
1000862_partial_1446838200,AUD_NZD,sell,0.04,1.08578536,1.08046,2015-11-04 13:15:00+00:00,2015-11-06 19:30:00+00:00,21.301440000000227,0.0,1.1002712053232575,0,True
1000866_partial_1446838200,EUR_GBP,sell,0.01,0.71567,0.7144,2015-11-05 19:15:00+00:00,2015-11-06 19:30:00+00:00,1.2699999999999934,0.0,0.7249031017661915,0,True
1000866_partial_1447165800,EUR_GBP,sell,0.01,0.71567,0.7073602084104277,2015-11-05 19:15:00+00:00,2015-11-10 14:30:00+00:00,8.309791589572347,0.0,0.7249031017661915,0,True
1000857,AUD_CAD,sell,0.11,0.9484640799999999,0.946382226336923,2015-10-28 00:30:00+00:00,2015-11-12 00:45:00+00:00,22.900390293845827,0.0,0.946332226336923,0,
1000844_partial_1447443000,GBP_CAD,sell,0.01,2.0290948,2.02829,2015-10-22 08:00:00+00:00,2015-11-13 19:30:00+00:00,0.8048000000000499,0.0,2.0653242414240016,0,True
1000851_partial_1447443000,AUD_USD,sell,0.01,0.71207056,0.71256,2015-10-28 00:30:00+00:00,2015-11-13 19:30:00+00:00,-0.48943999999995214,0.0,0.7400101888274682,0,True
