symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl,tp1_hit,tp2_hit,tp3_hit
NAS100_USD,bearish,2024-08-06T00:00:00+00:00,16261.3603515625,2024-08-06T00:00:00+00:00,17217.900017745596,0.28,1159.1447633735359,0.0,0.24739540559721213,286.7670888806804,True,True,True
XAG_USD,bearish,2024-08-06T00:00:00+00:00,27.4655,2024-08-06T01:00:00+00:00,27.4655,0.01,1159.1447633735359,0.04,0.20996549179941632,243.38040030844252,True,False,False
XAU_USD,bullish,2024-08-06T00:00:00+00:00,2415.935,2024-08-06T01:00:00+00:00,2415.935,0.14,1159.1447633735359,0.56,0.20951688519182865,242.8604003084425,True,False,False
BTC_USD,bearish,2024-08-06T00:00:00+00:00,53991.34765625,2024-08-07T00:00:00+00:00,55460.72446010219,0.07,1159.1447633735359,0.0,0.5027840841940466,582.7995383010881,True,True,False
ETH_USD,bearish,2024-08-06T00:00:00+00:00,2417.269775390625,2024-08-07T00:00:00+00:00,2492.528128035806,0.01,1159.1447633735359,0.04,0.5099766101510722,591.1367170996025,True,True,False
NAS100_USD,bearish,2024-08-07T00:00:00+00:00,16622.310546875,2024-08-07T00:00:00+00:00,17216.164763129185,0.32,1177.9946596512264,0.0,0.3698827770383462,435.7199360481371,True,True,True
XAG_USD,bearish,2024-08-07T00:00:00+00:00,27.017,2024-08-07T01:00:00+00:00,27.017,0.01,1177.9946596512264,0.04,0.2099660439886783,247.33887852675753,True,False,False
NAS100_USD,bearish,2024-08-08T00:00:00+00:00,16408.26953125,2024-08-08T00:00:00+00:00,17199.90572229115,0.3,1182.8147900087943,0.0,0.30530592084811836,361.1203586564087,True,True,True
XAG_USD,bearish,2024-08-08T00:00:00+00:00,26.665,2024-08-08T01:00:00+00:00,26.883333249696378,0.01,1182.8147900087943,0.04,0.5029199577785243,594.8611642510368,True,True,False
BTC_USD,bearish,2024-08-08T00:00:00+00:00,55030.02734375,2024-08-09T00:00:00+00:00,55030.02734375,0.07,1182.8147900087943,0.0,0.20999999999999996,248.39110590184674,True,False,False
ETH_USD,bearish,2024-08-08T00:00:00+00:00,2336.9150390625,2024-08-09T00:00:00+00:00,2492.3805792906674,0.01,1182.8147900087943,0.04,0.4460815182193545,527.6318172994299,True,True,False
NAS100_USD,bearish,2024-08-09T00:00:00+00:00,16636.51953125,2024-08-09T00:00:00+00:00,17175.59415786965,0.32,1201.9483934475643,0.0,0.3918223604098141,470.9502566114086,True,True,True
XAG_USD,bearish,2024-08-09T00:00:00+00:00,27.4805,2024-08-09T02:00:00+00:00,27.4805,0.01,1201.9483934475643,0.04,0.20996672070097344,252.36916262398847,True,False,False
XAU_USD,bullish,2024-08-07T00:00:00+00:00,2386.58,2024-08-12T14:00:00+00:00,2449.2180080588146,0.23,1177.9946596512264,0.92,0.9703579226092476,1143.0764507839517,True,True,False
BTC_USD,bearish,2024-08-12T00:00:00+00:00,58719.39453125,2024-08-13T00:00:00+00:00,58719.39453125,0.09,1207.1391147036325,0.0,0.21,253.4992140877628,True,False,False
ETH_USD,bearish,2024-08-12T00:00:00+00:00,2553.49658203125,2024-08-13T00:00:00+00:00,2553.49658203125,0.01,1207.1391147036325,0.04,0.20996686380259508,253.4592140877628,True,False,False
XAU_USD,bullish,2024-08-13T00:00:00+00:00,2472.245,2024-08-13T01:00:00+00:00,2466.2593710799642,0.12,1219.763378707527,0.48,0.5218886316050151,636.580640595581,True,True,False
XAU_USD,bullish,2024-08-14T00:00:00+00:00,2465.695,2024-08-14T01:00:00+00:00,2465.695,0.13,1225.4922444728873,0.52,0.2095756807092454,256.8333713393063,True,False,False
XAU_USD,bullish,2024-08-15T00:00:00+00:00,2450.22,2024-08-15T01:00:00+00:00,2450.22,0.16,1232.4361054990484,0.64,0.20948070330206622,258.17158215480015,True,False,False
BTC_USD,bearish,2024-08-14T00:00:00+00:00,60611.05078125,2024-08-16T00:00:00+00:00,59257.64787690132,0.11,1225.4922444728873,0.0,0.3242634370341299,397.3823272514486,True,False,False
XAU_USD,bullish,2024-08-16T00:00:00+00:00,2458.445,2024-08-16T01:00:00+00:00,2458.445,0.15,1234.7596497384413,0.6,0.20951407547199397,258.69952644507265,True,False,False
XAU_USD,bullish,2024-08-19T00:00:00+00:00,2502.065,2024-08-19T01:00:00+00:00,2495.7510649998253,0.1,1238.3482060796562,0.4,0.5316690849513096,658.3914575774666,True,True,False
BTC_USD,bearish,2024-08-19T00:00:00+00:00,58480.7109375,2024-08-20T00:00:00+00:00,58480.7109375,0.26,1238.3482060796562,0.0,0.21,260.0531232767278,True,False,False
XAU_USD,bullish,2024-08-20T00:00:00+00:00,2505.05,2024-08-21T14:00:00+00:00,2495.265376281692,0.1,1246.614207307344,0.4,0.5103280590058032,636.1822087442149,True,True,False
XAU_USD,bullish,2024-08-22T00:00:00+00:00,2513.81,2024-08-22T02:00:00+00:00,2503.1621351798967,0.09,1252.339847186042,0.36,0.5114390559231744,640.4955091398019,True,True,False
ETH_USD,bearish,2024-08-14T00:00:00+00:00,2703.5869140625,2024-08-23T00:00:00+00:00,2703.5869140625,0.01,1225.4922444728873,0.04,0.2099673600545573,257.3133713393063,True,False,False
BTC_USD,bearish,2024-08-21T00:00:00+00:00,59014.98828125,2024-08-23T00:00:00+00:00,63149.421226156475,0.3,1253.0093381908307,0.0,-1.3720014181902307,-1719.130589003422,False,False,False
XAU_USD,bullish,2024-08-23T00:00:00+00:00,2490.045,2024-08-23T01:00:00+00:00,2490.045,0.1,1258.1043067683001,0.4,0.20968206133796058,263.80190442134307,True,False,False
BTC_USD,bullish,2024-08-26T00:00:00+00:00,64342.2265625,2024-08-27T00:00:00+00:00,64342.2265625,0.15,1245.0059886070615,0.0,0.21,261.4512576074829,True,False,False
ETH_USD,bullish,2024-08-26T00:00:00+00:00,2749.24755859375,2024-08-27T00:00:00+00:00,2749.24755859375,0.01,1245.0059886070615,0.04,0.2099678716404852,261.41125760748287,True,False,False
XAU_USD,bullish,2024-08-26T00:00:00+00:00,2513.745,2024-08-28T06:00:00+00:00,2503.3421843405504,0.09,1245.0059886070615,0.36,0.5129238050987225,638.5932090470307,True,True,False
ETH_USD,bearish,2024-08-28T00:00:00+00:00,2458.90478515625,2024-08-29T00:00:00+00:00,2458.90478515625,0.01,1256.0986319655506,0.04,0.20996815536695757,263.74071271276557,True,False,False
XAU_USD,bullish,2024-08-29T00:00:00+00:00,2512.42,2024-08-30T15:00:00+00:00,2501.599811415414,0.09,1257.8331165398345,0.36,0.5091522405329764,640.4285495028331,True,True,False
BTC_USD,bullish,2024-08-28T00:00:00+00:00,59507.92578125,2024-09-04T00:00:00+00:00,56186.905175666245,0.38,1256.0986319655506,0.0,-1.0011434152748167,-1257.5348743280163,False,False,False
SPX500_USD,bullish,2024-08-19T00:00:00+00:00,5573.5155,2024-09-06T00:00:00+00:00,5405.809245457708,7.38,1238.3482060796562,0.0,-1.0,-1238.3482060796562,False,False,False
BTC_USD,bearish,2024-09-05T00:00:00+00:00,57971.703125,2024-09-06T00:00:00+00:00,53827.168328327694,0.16,1252.2787996164077,0.0,0.9402997703073884,1177.5174676401202,True,True,True
ETH_USD,bearish,2024-09-05T00:00:00+00:00,2448.98681640625,2024-09-06T00:00:00+00:00,2280.2657311966927,0.01,1252.2787996164077,0.04,0.8887818319879195,1113.0026456827036,True,True,True
XAU_USD,bullish,2024-09-05T08:00:00+00:00,2510.9298115234374,2024-09-06T13:00:00+00:00,2510.9298115234374,0.55,1265.1271801004723,2.2,0.2082610443956905,263.4767078210992,True,False,False
BTC_USD,bearish,2024-09-09T00:00:00+00:00,54851.88671875,2024-09-10T00:00:00+00:00,54851.88671875,0.22,1264.1196371519866,0.0,0.21,265.4651238019172,True,False,False
ETH_USD,bearish,2024-09-09T00:00:00+00:00,2297.896240234375,2024-09-10T00:00:00+00:00,2297.896240234375,0.01,1264.1196371519866,0.04,0.2099683574253382,265.42512380191715,True,False,False
SPX500_USD,bullish,2024-09-09T00:00:00+00:00,5442.06982421875,2024-09-10T00:00:00+00:00,5442.06982421875,4.18,1264.1196371519866,0.0,0.21,265.4651238019172,True,False,False
NAS100_USD,bearish,2024-09-10T00:00:00+00:00,16949.640625,2024-09-10T00:00:00+00:00,17839.064501186884,0.42,1271.2871954946386,0.0,0.13844150217043452,175.99890903431663,True,True,True
NAS100_USD,bearish,2024-09-11T00:00:00+00:00,17061.41015625,2024-09-11T00:00:00+00:00,17848.226357387743,0.43,1272.8708256759473,0.0,0.1857879175442159,236.4840200051209,True,True,True
XAU_USD,bullish,2024-09-10T12:00:00+00:00,2510.9298115234374,2024-09-11T12:00:00+00:00,2510.9298115234374,0.57,1272.8708256759473,2.28,0.2082087734638829,265.0228733919489,True,False,False
BTC_USD,bearish,2024-09-11T00:00:00+00:00,57650.2890625,2024-09-12T00:00:00+00:00,57650.2890625,0.43,1272.8708256759473,0.0,0.20999999999999994,267.3028733919489,True,False,False
NAS100_USD,bearish,2024-09-12T00:00:00+00:00,17413.890625,2024-09-12T00:00:00+00:00,17792.3920077668,0.49,1282.1958394375763,0.0,0.39081053982631675,501.0956481736565,True,True,True
XAU_USD,bullish,2024-09-12T00:00:00+00:00,2512.26,2024-09-12T18:00:00+00:00,2557.2868413614797,0.56,1282.1958394375763,2.24,1.2657759067691208,1622.972601319692,True,True,True
XAU_USD,bullish,2024-09-13T00:00:00+00:00,2561.66,2024-09-16T03:00:00+00:00,2586.181747762757,0.15,1301.3124536830164,0.6,0.8051138946175119,1047.704737699004,True,True,True
ETH_USD,bearish,2024-09-11T00:00:00+00:00,2389.603759765625,2024-09-17T00:00:00+00:00,2389.603759765625,0.01,1272.8708256759473,0.04,0.20996857497305052,267.26287339194886,True,False,False
XAU_USD,bullish,2024-09-17T00:00:00+00:00,2580.305,2024-09-17T04:00:00+00:00,2576.71806481316,0.13,1319.6277245098363,0.52,0.5429993584922734,716.5570078574597,True,True,False
XAU_USD,bullish,2024-09-18T00:00:00+00:00,2573.08,2024-09-18T01:00:00+00:00,2573.08,0.14,1326.0763775805533,0.56,0.2095777015491206,277.91603929191615,True,False,False
ETH_USD,bearish,2024-09-18T00:00:00+00:00,2341.73291015625,2024-09-19T00:00:00+00:00,2341.73291015625,0.01,1326.0763775805533,0.04,0.20996983582493714,278.43603929191613,True,False,False
XAU_USD,bullish,2024-09-19T00:00:00+00:00,2558.825,2024-09-19T01:00:00+00:00,2558.825,0.16,1331.0839062878076,0.64,0.2095191888377759,278.88762032043957,True,False,False
ETH_USD,bullish,2024-09-20T00:00:00+00:00,2464.7822265625,2024-09-23T00:00:00+00:00,2614.9207177618678,0.01,1333.5935348706917,0.04,0.9822764801166712,1309.9575633391323,True,True,True
XAU_USD,bullish,2024-09-20T00:00:00+00:00,2588.125,2024-09-23T02:00:00+00:00,2625.8439405795825,0.12,1333.5935348706917,0.48,0.8401527575793808,1120.4222858116457,True,True,True
XAU_USD,bullish,2024-09-24T00:00:00+00:00,2625.26,2024-09-24T19:00:00+00:00,2658.80387054741,0.11,1355.4669535130488,0.44,0.792190212835518,1073.7876543950133,True,True,True
ETH_USD,bullish,2024-09-24T00:00:00+00:00,2648.482177734375,2024-09-25T00:00:00+00:00,2643.5732443390157,0.01,1355.4669535130488,0.04,0.5611118089894904,760.5685143111804,True,True,False
XAG_USD,bullish,2024-08-19T07:00:00+00:00,29.13720949935913,2024-09-26T12:00:00+00:00,32.304565301613145,0.01,1246.614207307344,0.04,0.9549679130882948,1190.4765679785132,True,True,False
ETH_USD,bullish,2024-09-26T00:00:00+00:00,2579.217529296875,2024-09-27T00:00:00+00:00,2641.983579357811,0.01,1379.014952967198,0.04,0.684089177893252,943.369205477832,True,True,False
XAG_USD,bullish,2024-09-27T00:00:00+00:00,31.918,2024-09-27T02:00:00+00:00,31.725329827725414,0.01,1394.4474879359157,0.04,0.5298537794529257,738.8532717314829,True,True,False
