trial,breached,objective,maximin,avg_net,worst_tdd,worst_ddd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
47,True,-999000000.0,,,,,1,1,1.06,0.9299999999999999,2.5,4.0,1.25,4.0,0.6000000000000001,6.0,0.5,8.0,0.4,3.5,140188,,,,
50,True,-998000000.0,,,,,2,2,1.26,1.0899999999999999,2.5,5.0,1.25,3.0,0.4,3.5,0.4,9.0,0.4,3.5,302791,180050,,,
51,True,-998000000.0,,,,,2,2,1.0899999999999999,0.98,4.0,5.0,3.5,3.0,0.35000000000000003,7.5,0.2,8.5,0.15000000000000002,2.5,181158,71647,,,
55,True,-1000000000.0,,,,,0,0,1.04,1.05,2.0,4.5,1.25,4.0,0.45,7.0,0.45,8.0,0.35,2.5,,,,,
62,False,13276.0,17148,149568,8.44,3.26,5,,0.74,0.75,3.0,5.0,3.0,4.5,0.75,5.0,0.6,5.5,0.25,5.0,370613,28503,149737,17148,181838
60,False,32953.0,32953,126210,6.66,3.4,5,,0.9199999999999999,0.82,4.0,4.5,1.75,3.0,0.75,3.5,0.6,4.5,0.25,4.5,357608,48994,109861,32953,81632
61,False,28677.0,28677,164121,7.12,4.34,5,,0.99,0.7,5.0,4.0,1.5,3.5,0.65,4.5,0.6,5.0,0.25,4.5,223676,46405,293652,28677,228196
59,False,30757.0,44869,113542,8.84,4.27,5,,1.0899999999999999,0.77,4.0,5.0,1.25,3.0,0.75,4.0,0.6,4.5,0.25,5.0,171305,77054,196419,44869,78065
64,True,-997000000.0,,,,,3,3,1.0699999999999998,0.6699999999999999,5.0,4.5,2.5,3.0,0.7,4.0,0.55,4.5,0.2,5.0,293724,224607,279090,,
63,False,45730.0,47412,127910,8.29,3.94,5,,0.97,0.79,5.0,4.5,1.25,3.5,0.75,4.5,0.55,5.0,0.2,4.5,295546,73743,147302,47412,75549
65,False,21499.0,29437,147373,8.63,3.6,5,,0.97,0.8,5.0,4.5,2.5,3.5,0.8,4.5,0.55,5.5,0.2,4.0,228320,177522,231749,29437,69839
66,False,77303.0,77303,147406,6.38,4.0,5,,1.13,0.88,5.0,4.0,1.75,3.0,0.75,4.0,0.55,5.0,0.2,4.5,293613,102294,154853,77303,108969
70,True,-999000000.0,,,,,1,1,1.2,0.87,5.0,3.0,2.5,3.0,0.75,3.5,0.55,7.0,0.4,4.0,108297,,,,
67,False,-12336.0,44786,115900,9.69,4.02,5,,0.96,1.2,2.0,4.0,1.25,3.5,0.65,7.0,0.55,8.5,0.4,3.0,179564,44786,233128,45908,76112
68,False,54129.0,67577,147263,8.82,3.59,5,,1.17,0.94,5.0,4.5,2.25,3.0,0.75,3.5,0.55,7.0,0.4,5.0,303958,67577,106172,187420,71188
69,False,-22149.0,10447,117931,9.27,4.63,5,,1.19,1.1400000000000001,4.5,4.5,2.25,3.0,0.45,3.5,0.15,4.0,0.1,2.5,371096,77879,29621,10447,100614
71,False,11421.0,11421,89804,5.23,4.33,5,,1.35,1.03,3.5,4.0,2.0,3.0,0.7,8.0,0.55,9.0,0.15000000000000002,4.5,291642,13826,105609,26522,11421
72,True,-999000000.0,,,,,1,1,1.24,0.9199999999999999,4.5,4.0,2.0,3.0,0.8,4.0,0.55,5.0,0.2,5.0,146938,,,,
74,True,-998000000.0,,,,,2,2,1.0899999999999999,1.12,5.0,4.5,2.25,3.5,0.75,4.0,0.55,6.5,0.4,5.0,193717,32469,,,
75,True,-999000000.0,,,,,1,1,1.2,0.96,5.0,5.0,2.25,3.5,0.8,4.0,0.5,6.5,0.4,4.0,175255,,,,
73,False,-44063.0,12385,57905,9.68,3.66,5,,1.2799999999999998,1.28,2.5,3.5,3.0,5.0,0.7,6.5,0.55,7.5,0.4,3.5,142770,49657,39980,44732,12385
76,False,15066.0,15066,79047,7.01,3.59,5,,0.99,1.08,5.0,5.0,2.25,3.0,0.8,3.5,0.6,7.0,0.35,5.0,100059,99821,15066,75478,104810
77,False,-31448.0,37744,125246,9.86,3.82,5,,1.19,0.85,5.0,4.5,1.75,3.0,0.7,3.5,0.6,6.5,0.35,4.0,291638,37744,77307,113104,106438
78,False,44588.0,44588,105330,7.77,3.82,5,,0.84,0.64,2.5,4.0,2.5,5.0,0.8,6.5,0.6,7.5,0.35,5.0,180107,74023,148043,44588,79889
79,False,-6249.0,12569,115909,8.97,3.94,5,,1.42,0.99,5.0,4.0,2.5,3.0,0.55,3.5,0.45000000000000007,7.0,0.35,5.0,224987,28862,281952,31176,12569
82,True,-1000000000.0,,,,,0,0,1.15,0.8899999999999999,5.0,4.0,2.25,3.0,0.55,3.5,0.45000000000000007,4.0,0.15000000000000002,5.0,,,,,
