trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
46,False,1851.0,1851,63648,7.49,5,,0.8500000000000001,1.7000000000000002,2.5,3.5,1.5,4.0,0.5,5.0,0.30000000000000004,7.5,0.1,4.5,102024,29520,141739,1851,43104
45,False,3164.0,3164,45861,7.14,5,,0.8500000000000001,0.7000000000000001,2.5,3.5,1.5,4.0,0.5,5.0,0.30000000000000004,8.0,0.1,5.0,28900,43703,107553,3164,45985
49,True,-999000000.0,,,,1,1,1.05,0.75,4.5,4.0,1.75,4.5,0.30000000000000004,6.0,0.25,8.0,0.1,3.5,71623,,,,
51,True,-998000000.0,,,,2,2,1.05,0.7000000000000001,4.5,4.0,1.75,4.5,0.2,6.0,0.2,8.5,0.15000000000000002,3.5,79000,33982,,,
48,False,5809.0,14001,30435,8.64,5,,0.6,0.75,4.5,3.5,1.5,4.5,0.5,6.0,0.30000000000000004,8.0,0.1,3.5,74210,26172,23537,14001,14257
50,True,-997000000.0,,,,3,3,0.6,0.75,4.0,4.0,1.75,4.5,0.30000000000000004,6.0,0.25,8.5,0.1,3.5,18705,38511,139278,,
52,False,7772.0,14500,33575,8.58,5,,1.1,0.4,4.0,3.0,2.5,5.0,0.6000000000000001,6.0,0.4,8.0,0.35,4.0,30933,22968,46017,14500,53456
56,True,-1000000000.0,,,,0,0,1.0,0.45,3.5,3.0,3.0,5.0,0.8,6.5,0.35,9.0,0.25,4.0,,,,,
53,False,7772.0,14500,33575,8.58,5,,1.1,0.4,4.0,3.0,2.5,5.0,0.6000000000000001,6.0,0.4,8.0,0.35,4.0,30933,22968,46017,14500,53456
54,False,14300.0,14500,33451,8.1,5,,1.1,0.4,4.0,3.0,2.5,5.0,0.6000000000000001,6.5,0.4,8.0,0.35,4.0,28506,24775,46017,14500,53456
57,True,-1000000000.0,,,,0,0,1.1,0.6000000000000001,3.0,3.0,2.0,5.0,0.7,7.5,0.15,9.0,0.15,3.0,,,,,
55,False,-32318.0,14500,42270,9.53,5,,1.1,0.4,3.5,3.0,2.5,5.0,0.8,6.5,0.4,8.0,0.25,4.0,74954,22421,46017,14500,53456
