trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
GBP_JPY_430,GBP_JPY,bullish,2023-08-23 21:00:00,2023-08-31 09:00:00,183.743,185.093,SAFETY_DAILY_DD_5.3%,0.01,3137.21,0.04,1350.0005704754617,1349.9605704754617,0.4303188407774621,1.1382,1.8970000000000002,False,False,False
XAU_USD_432,XAU_USD,bearish,2023-08-24 00:00:00,2023-08-31 09:00:00,1919.264190673828,1944.845,SAFETY_DAILY_DD_5.3%,0.42,1303.95,1.68,-1074.3964923579797,-1076.0764923579798,-0.823955283836021,1.1382,1.8970000000000002,False,False,False
GBP_JPY_437,GBP_JPY,bullish,2023-08-24 21:00:00,2023-08-31 09:00:00,183.360648,185.093,SAFETY_DAILY_DD_5.3%,0.01,2743.47,0.04,1732.3528138759589,1732.312813875959,0.6314458747046474,0.891,1.485,False,False,False
AUD_CHF_438,AUD_CHF,bearish,2023-08-27 21:00:00,2023-08-31 09:00:00,0.56824,0.57072,SAFETY_DAILY_DD_5.3%,1.46,1145.99,5.84,-362.08064781155593,-367.9206478115559,-0.31595445668073535,0.99,1.6500000000000001,False,False,False
GBP_AUD_439,GBP_AUD,bullish,2023-08-28 21:00:00,2023-08-31 09:00:00,1.95514208,1.96107,SAFETY_DAILY_DD_5.3%,0.39,1139.66,1.56,231.1887158857398,229.6287158857398,0.20285762059363302,0.99,1.6500000000000001,False,False,False
NZD_JPY_440,NZD_JPY,bullish,2023-08-28 21:00:00,2023-08-31 09:00:00,86.75958399999999,86.782,SAFETY_DAILY_DD_5.3%,0.01,902.18,0.04,22.415950503043824,22.375950503043825,0.024846428099762605,0.99,1.6500000000000001,False,False,False
GBP_NZD_441,GBP_NZD,bullish,2023-08-28 21:00:00,2023-08-31 09:00:00,2.11782,2.1329,SAFETY_DAILY_DD_5.3%,0.33,1152.37,1.32,497.6404517321326,496.3204517321326,0.4318408599079572,0.99,1.6500000000000001,False,False,False
SPX500_USD_442,SPX500_USD,bullish,2023-08-29 00:00:00,2023-08-31 09:00:00,4458.679,4517.4,SAFETY_DAILY_DD_5.3%,8.42,1147.67,0.0,494.4300054197699,494.4300054197699,0.43081199771691325,0.99,1.6500000000000001,False,False,False
EUR_USD_443,EUR_USD,bearish,2023-08-29 21:00:00,2023-08-31 09:00:00,1.0896988,1.08743,SAFETY_DAILY_DD_5.3%,1.23,1221.58,4.92,279.0631203890136,274.1431203890136,0.22844440838014177,1.0398,1.733,False,False,False
EUR_USD_444,EUR_USD,bullish,2023-08-29 21:00:00,2023-08-31 09:00:00,1.09220712,1.08743,SAFETY_DAILY_DD_5.3%,0.66,1220.61,2.64,-315.29019476146607,-317.93019476146605,-0.2583054331534774,1.0398,1.733,False,False,False
NZD_JPY_445,NZD_JPY,bullish,2023-08-29 21:00:00,2023-08-31 09:00:00,87.42193400000001,86.782,SAFETY_DAILY_DD_5.3%,0.01,1961.09,0.04,-639.9333379197082,-639.9733379197081,-0.32631512981031374,1.0398,1.733,False,False,False
GBP_USD_446,GBP_USD,bearish,2023-08-29 21:00:00,2023-08-31 09:00:00,1.2715614,1.26865,SAFETY_DAILY_DD_5.3%,0.92,1224.65,3.68,267.8494498282889,264.1694498282889,0.21871510213390677,1.0398,1.733,False,False,False
EUR_NZD_447,EUR_NZD,bullish,2023-08-29 21:00:00,2023-08-31 09:00:00,1.823694,1.82824,SAFETY_DAILY_DD_5.3%,0.93,1224.84,3.72,703.5003509440796,699.7803509440796,0.5743610193527968,1.0398,1.733,True,False,False
NZD_CHF_448,NZD_CHF,bearish,2023-08-30 21:00:00,2023-08-31 09:00:00,0.52708,0.52472,SAFETY_DAILY_DD_5.3%,1.63,1282.48,6.52,384.6796623759698,378.15966237596984,0.2999498334289578,1.089,1.815,False,False,False
USD_JPY_449,USD_JPY,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,145.43266,145.899,SAFETY_DAILY_DD_5.3%,1.52,1280.32,6.08,487.3987453127284,481.3187453127284,0.38068509850094384,1.089,1.815,False,False,False
CHF_JPY_450,CHF_JPY,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,165.425984,165.378,SAFETY_DAILY_DD_5.3%,0.01,1248.44,0.04,-47.98413612678597,-48.02413612678597,-0.03843527612603406,1.089,1.815,False,False,False
NZD_CAD_451,NZD_CAD,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,0.80384,0.80583,SAFETY_DAILY_DD_5.3%,2.74,1279.43,10.96,545.2588355721414,534.2988355721413,0.42617324556415076,1.089,1.815,False,False,False
EUR_JPY_452,EUR_JPY,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,158.267294,158.655,SAFETY_DAILY_DD_5.3%,0.01,1514.6,0.04,387.70623025664696,387.66623025664694,0.25597928843037565,1.089,1.815,False,False,False
USD_CAD_453,USD_CAD,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,1.35094,1.35488,SAFETY_DAILY_DD_5.3%,1.64,1283.33,6.56,478.3032165048242,471.7432165048242,0.37270477313304,1.089,1.815,False,False,False
EUR_NZD_454,EUR_NZD,bullish,2023-08-30 21:00:00,2023-08-31 09:00:00,1.823694,1.82824,SAFETY_DAILY_DD_5.3%,0.95,1276.17,3.8,727.3740595059081,723.5740595059082,0.5699664304175056,1.089,1.815,True,False,False
EUR_NZD_468,EUR_NZD,bullish,2023-09-04 21:00:00,2023-09-08 10:00:00,1.823694,1.81044,SL,1.15,1546.45,4.6,-1546.45,-1551.05,-1.0,1.188,1.98,False,False,False
USD_CAD_473,USD_CAD,bullish,2023-09-07 21:00:00,2023-09-08 12:00:00,1.36112202,1.36234,TP1+Trail,3.33,1544.97,13.32,540.7395,527.4195,0.35,1.188,1.98,True,False,False
AUD_CAD_460,AUD_CAD,bearish,2023-09-03 21:00:00,2023-09-08 12:00:00,0.8782,0.871,SAFETY_DAILY_DD_4.6%,1.57,1545.58,6.28,1275.7140484337062,1269.4340484337063,0.8253950286841873,1.188,1.98,True,False,False
GBP_CHF_461,GBP_CHF,bearish,2023-09-04 21:00:00,2023-09-08 12:00:00,1.11782,1.11322,SAFETY_DAILY_DD_4.6%,1.55,1545.03,6.2,713.0022700461748,706.8022700461747,0.4614811816250654,1.188,1.98,False,False,False
NZD_CAD_462,NZD_CAD,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,0.80501234,0.80458,SAFETY_DAILY_DD_4.6%,2.62,1545.87,10.48,-113.2730355872682,-123.7530355872682,-0.07327461920295252,1.188,1.98,False,False,False
EUR_AUD_463,EUR_AUD,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,1.68327126,1.67389,SAFETY_DAILY_DD_4.6%,1.0,1538.39,4.0,-938.1282328719764,-942.1282328719764,-0.6098117076111885,1.188,1.98,False,False,False
EUR_AUD_464,EUR_AUD,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,1.68698,1.67389,SAFETY_DAILY_DD_4.6%,0.81,1543.74,3.24,-1060.2916501849043,-1063.5316501849043,-0.6868330484310209,1.188,1.98,False,False,False
EUR_GBP_465,EUR_GBP,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,0.8535507600000001,0.8576,SAFETY_DAILY_DD_4.6%,2.46,1547.9,9.84,1189.238841340971,1179.398841340971,0.7682917768208353,1.188,1.98,True,False,False
AUD_NZD_466,AUD_NZD,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,1.08424,1.08262,SAFETY_DAILY_DD_4.6%,2.45,1548.56,9.8,-396.8999062022849,-406.6999062022849,-0.2563025689687742,1.188,1.98,False,False,False
AUD_USD_467,AUD_USD,bearish,2023-09-04 21:00:00,2023-09-08 12:00:00,0.6443393399999999,0.63936,SAFETY_DAILY_DD_4.6%,1.46,1546.09,5.84,726.9846712335863,721.1446712335862,0.4702085074177999,1.188,1.98,False,False,False
EUR_NZD_469,EUR_NZD,bullish,2023-09-04 21:00:00,2023-09-08 12:00:00,1.82266,1.81216,SAFETY_DAILY_DD_4.6%,0.79,1554.31,3.16,-829.497694498425,-832.6576944984249,-0.5336758397606816,1.188,1.98,False,False,False
GBP_CAD_470,GBP_CAD,bullish,2023-09-05 21:00:00,2023-09-08 12:00:00,1.70760066,1.70016,SAFETY_DAILY_DD_4.6%,0.91,1551.48,3.64,-677.098729826024,-680.738729826024,-0.43642117837550215,1.188,1.98,False,False,False
BTC_USD_471,BTC_USD,bullish,2023-09-07 00:00:00,2023-09-08 12:00:00,25968.60241796875,25841.6,SAFETY_DAILY_DD_4.6%,1.79,1546.31,0.0,-227.33447748176863,-227.33447748176863,-0.14701740109148143,1.188,1.98,False,False,False
CAD_CHF_472,CAD_CHF,bearish,2023-09-07 21:00:00,2023-09-08 12:00:00,0.65464,0.65476,SAFETY_DAILY_DD_4.6%,1.67,1543.8,6.68,-20.039972718283757,-26.719972718283756,-0.012980938410599661,1.188,1.98,False,False,False
