trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
88,GBP_JPY,bearish,2023-01-18 22:00:00,159.198398,161.96206506289752,2.7636670628975253,2023-02-05 22:00:00,TP1+Trail,0.21,75.6,True,True,False,False,432
113,ETH_USD,bullish,2023-01-29 00:00:00,1616.492167724609,1487.4260234342823,129.06614429032675,2023-02-06 05:00:00,TP1+Trail,0.21,75.6,True,True,False,False,197
126,ETH_USD,bullish,2023-02-01 00:00:00,1616.492167724609,1486.2018004121069,130.2903673125022,2023-02-06 05:00:00,TP1+Trail,0.21,75.6,True,True,False,False,125
133,GBP_USD,bullish,2023-02-02 22:00:00,1.2186501,1.2027361711926396,0.015913928807360422,2023-02-06 10:00:00,SL,-1.0,-360.0,False,False,False,False,84
148,USD_CAD,bearish,2023-02-05 22:00:00,1.34446584,1.3569458533290015,0.012480013329001505,2023-02-08 20:00:00,TP1+Trail,0.21,75.6,True,True,False,False,70
145,ETH_USD,bullish,2023-02-05 00:00:00,1616.492167724609,1486.056575550081,130.43559217452798,2023-02-09 03:00:00,TP1+Trail,0.21,75.6,True,True,False,False,99
160,USD_JPY,bullish,2023-02-09 22:00:00,130.188428,127.38927447467276,2.7991535253272275,2023-02-10 08:00:00,TP1+Trail,0.21,75.6,True,True,False,False,10
152,AUD_JPY,bearish,2023-02-06 22:00:00,91.955412,93.2527416574382,1.2973296574381976,2023-02-10 09:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,83
157,NZD_USD,bullish,2023-02-08 22:00:00,0.63766672,0.629654046128936,0.008012673871063969,2023-02-13 01:00:00,SL,-1.0,-360.0,False,False,False,False,99
102,EUR_JPY,bearish,2023-01-22 22:00:00,141.000698,143.3876581972438,2.386960197243809,2023-02-13 05:00:00,TP1+Trail,0.21,75.6,True,True,False,False,511
163,AUD_JPY,bearish,2023-02-12 22:00:00,91.955412,93.221776028204,1.2663640282040092,2023-02-13 11:00:00,TP1+Trail,0.21,75.6,True,True,False,False,13
