date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2024-06-11,88612.80000000003,89206.80000000003,91618.51834136582,87037.59242429753,91334.05087392904,91882.8118746217,29,1,3,593.9999999999986,False
2024-06-12,89206.80000000003,90061.80000000003,91882.8118746217,87288.67128089062,91969.0551272496,94202.37496598589,30,4,4,855.0,False
2024-06-13,90061.80000000003,90313.80000000003,93587.52504576575,88908.14879347746,91506.04674959506,93466.6259225,29,3,2,251.99999999999997,False
2024-06-14,90313.80000000003,89143.80000000003,91660.92062716595,87077.87459580765,90600.78036707333,93168.28222167846,37,10,10,-1170.0,False
2024-06-17,89143.80000000003,89143.80000000003,90753.19112672303,86215.53157038688,89754.02700533293,90900.99117107701,28,1,0,0.0,False
2024-06-18,89143.80000000003,88900.80000000003,90609.25496761526,86078.7922192345,90369.81487159221,91974.53226677098,30,2,3,-243.0,False
2024-06-19,88900.80000000003,89017.80000000003,91931.80704164942,87335.21668956695,91374.36590270301,92080.11750555421,28,1,2,117.0,False
2024-06-20,89017.80000000003,88918.80000000003,91409.35366424882,86838.88598103638,91223.75603552989,93480.18442967547,34,8,8,-98.99999999999932,False
2024-06-21,88918.80000000003,89755.80000000003,91223.75603552989,86662.5682337534,90579.45566234893,91656.29976405931,29,3,6,836.9999999999982,False
2024-06-24,89755.80000000003,89881.80000000003,90627.40421953429,86096.03400855757,90526.29567140895,90946.56066043253,26,3,1,125.99999999999999,False
2024-06-25,89881.80000000003,89521.80000000003,90770.13633230541,86231.62951569015,90139.0550169454,91034.77941451824,25,0,1,-360.0,False
2024-06-26,89521.80000000003,88918.80000000003,90196.81603287799,85686.97523123409,90238.90224292412,90802.39293735652,25,1,4,-603.0,False
2024-06-27,88918.80000000003,88918.80000000003,90479.34627869469,85955.37896475996,90086.9384898699,90756.90682125905,23,2,0,0.0,False
2024-06-28,88918.80000000003,89512.80000000003,90668.76513644261,86135.32687962048,90248.24236943963,91328.7637455189,24,1,3,594.0,False
2024-07-01,89512.80000000003,89152.80000000003,90741.8326605718,86204.74102754322,89890.84335087468,92023.42856906794,26,5,1,-360.0,False
2024-07-02,89152.80000000003,89269.80000000003,91960.34850489843,87362.33107965351,91137.74686559552,92033.36793376227,27,2,2,117.00000000000148,False
2024-07-03,89269.80000000003,89152.80000000003,91247.96718712428,86685.56882776806,90278.97997154776,92535.28607498526,30,5,4,-117.0,False
2024-07-04,89152.80000000003,88909.80000000003,92247.36984301655,87635.00135086573,91380.57478906341,92755.94669898215,28,2,3,-242.99999999999977,False
2024-07-05,88909.80000000003,91294.80000000003,91561.85156511348,86983.7589868578,91430.84437992997,95624.51437340362,32,7,5,2384.9999999999973,False
2024-07-08,91294.80000000003,90934.80000000003,95624.51437340362,90843.28865473345,94805.39085292157,95897.10595177684,28,1,1,-360.0,False
2024-07-09,90934.80000000003,92365.80000000003,94805.39085292157,90065.12131027548,94419.28031780433,95531.37460025019,27,0,3,1431.0,False
2024-07-10,92365.80000000003,93571.80000000003,95043.9505535785,90291.75302589957,95297.96468102786,96411.96036494685,31,7,4,1206.0000000000032,False
2024-07-11,93571.80000000003,96937.80000000003,96411.96036494685,91591.3623466995,98065.08993180247,100882.95592165594,38,11,16,3366.000000000002,False
2024-07-12,96937.80000000003,98008.80000000003,98471.29410197919,93547.72939688023,98088.9883363568,99276.05227254667,22,1,4,1070.9999999999993,False
2024-07-15,98008.80000000003,98602.80000000003,99172.99478724903,94214.34504788657,97975.35285895529,98882.92666369514,22,3,3,593.9999999999989,False
2024-07-16,98602.80000000003,97522.80000000003,98602.80000000003,93672.66000000003,97463.08004346178,97910.20614643552,19,0,3,-1080.0,False
2024-07-17,97522.80000000003,96685.80000000003,97601.23026755503,92721.16875417728,97454.7369882801,98397.1464080154,22,7,6,-837.0,False
2024-07-18,96685.80000000003,96451.80000000003,97730.21105193009,92843.70049933359,96833.05512379315,97807.4160777307,18,2,2,-234.0,False
2024-07-19,96451.80000000003,95371.80000000003,96833.05512379315,91991.4023676035,96142.77557295111,96993.65829492162,21,4,3,-1080.0,False
2024-07-22,95371.80000000003,94291.80000000003,96265.16251114802,91451.90438559062,94899.52002657067,96759.70437672826,21,3,3,-1080.0,False
2024-07-23,94291.80000000003,93571.80000000003,95284.33763899388,90520.12075704419,94559.84574705159,95604.72665342354,19,1,2,-720.0,False
2024-07-24,93571.80000000003,91888.80000000003,94834.3100199284,90092.59451893198,94071.2209748585,95142.96583993021,20,3,7,-1683.0,False
2024-07-25,91888.80000000003,93076.80000000003,94092.27932837403,89387.66536195533,94150.47220908638,94597.60253241003,14,1,6,1187.9999999999986,False
2024-07-26,93076.80000000003,93076.80000000003,94230.19645386966,89518.68663117618,94256.61400833236,94573.21236809592,9,1,0,0.0,False
