date,balance,equity,daily_hwm,open_trades,trading_halted
2024-12-18,479073.0041409809,483580.06062270195,478904.3143345279,21,False
2024-12-19,470130.3050409809,481497.03682119085,483580.06062270195,21,False
2024-12-20,476919.6761409809,481199.1583626851,481497.03682119085,19,False
2024-12-22,476919.6761409809,481295.4436244413,481199.1583626851,19,False
2024-12-23,476919.6761409809,479670.03494602017,481295.4436244413,19,False
2024-12-24,468429.1161409809,477346.1425735911,479670.03494602017,16,False
2024-12-25,468429.1161409809,478454.7579935837,477346.1425735911,17,False
2024-12-26,464997.0461409809,474824.34445505816,478454.7579935837,16,False
2024-12-27,464997.0461409809,475351.43544941157,474824.34445505816,17,False
2024-12-29,464997.0461409809,474573.358581614,475351.43544941157,20,False
2024-12-30,463871.3599609809,474521.99222976103,474573.358581614,18,False
2024-12-31,467715.0683409809,480266.97276499437,474521.99222976103,17,False
2025-01-01,467715.0683409809,496392.7150799647,480266.97276499437,30,False
2025-01-02,482610.36662098096,491710.7426386001,496392.7150799647,20,False
2025-01-03,484601.184130981,494659.2251902563,491710.7426386001,22,False
2025-01-05,484601.184130981,502054.7625587822,494659.2251902563,31,False
2025-01-06,489004.502990981,499913.65199601254,502054.7625587822,25,False
2025-01-07,496434.404840981,501470.49681064783,499913.65199601254,25,False
2025-01-08,493517.234840981,496569.1686055175,501470.49681064783,25,False
2025-01-09,485566.832540981,495341.4696293935,496569.1686055175,27,False
2025-01-10,488783.106580981,494058.3307926485,495341.4696293935,20,False
2025-01-12,488783.106580981,495628.51886155305,494058.3307926485,21,False
2025-01-13,481303.545580981,488258.4955130164,495628.51886155305,19,False
2025-01-14,483580.28035098105,493163.1607434343,488258.4955130164,18,False
2025-01-15,486261.50750098104,483556.66298207093,493163.1607434343,20,False
2025-01-16,480144.86170098104,476460.2678882359,486261.50750098104,15,False
2025-01-17,478004.127300981,482570.9911048355,480144.86170098104,13,False
2025-01-19,480088.948200981,484599.78101644083,482570.9911048355,20,False
2025-01-20,470877.574700981,475970.24589425937,484599.78101644083,16,False
2025-01-21,474046.24853098096,479913.2340368481,475970.24589425937,16,False
2025-01-22,474046.24853098096,479760.94547244266,479913.2340368481,19,False
2025-01-23,476090.361960981,486675.98972586286,479760.94547244266,23,False
2025-01-24,480295.182000981,490869.09487161535,486675.98972586286,21,False
2025-01-26,480295.182000981,490140.628037008,490869.09487161535,23,False
2025-01-27,470524.28321606544,470524.28321606544,470524.28321606544,0,True
2025-01-28,470524.28321606544,469309.7978267609,470524.28321606544,2,False
2025-01-29,470524.28321606544,468334.988980879,470524.28321606544,4,False
2025-01-30,471117.00611606543,475646.26683300745,470524.28321606544,9,False
2025-01-31,475722.8584860654,476628.997273261,475646.26683300745,6,False
2025-02-02,472855.7184860654,479708.65263226174,476628.997273261,10,False
2025-02-03,483369.71746606537,494924.5528351898,479708.65263226174,22,False
2025-02-04,485755.1516660653,496593.90491859755,494924.5528351898,22,False
2025-02-05,488971.05379606533,489037.5382149106,496593.90491859755,23,False
2025-02-06,494276.75784606533,491340.5824228308,489037.5382149106,20,False
2025-02-07,488427.44784606533,490026.82860537304,494276.75784606533,18,False
2025-02-09,489621.76544606534,490929.9930967424,490026.82860537304,18,False
2025-02-10,489621.76544606534,496419.93749214837,490929.9930967424,21,False
2025-02-11,490830.10354606534,491207.02913250646,496419.93749214837,27,False
2025-02-12,493979.3112460653,496517.88569611585,491207.02913250646,27,False
2025-02-13,497884.4729260653,501272.29008094786,496517.88569611585,25,False
2025-02-14,495406.65057606535,494036.527886676,501272.29008094786,21,False
2025-02-16,495406.65057606535,492747.02968070586,495406.65057606535,23,False
2025-02-17,493707.0764760654,493781.6643027887,495406.65057606535,20,False
2025-02-18,493707.0764760654,491018.5465108352,493781.6643027887,21,False
2025-02-19,496411.32182606537,497294.92688615114,493707.0764760654,23,False
2025-02-20,494647.1948260654,489135.9479021698,497294.92688615114,21,False
2025-02-21,491646.35482606536,489216.4781966248,494647.1948260654,20,False
2025-02-23,491646.35482606536,491602.55618753476,491646.35482606536,22,False
2025-02-24,495483.8311060653,496316.4086294471,491646.35482606536,22,False
2025-02-25,500059.3518860653,501889.8522562484,496316.4086294471,20,False
2025-02-26,504031.9896660653,505114.58793079545,501889.8522562484,23,False
2025-02-27,506296.0503260653,515951.71388567635,505114.58793079545,19,False
2025-02-28,514500.98829606525,519100.65439433936,515951.71388567635,17,False
2025-03-02,514500.98829606525,527122.1829505413,519100.65439433936,22,False
2025-03-03,513868.1576960653,520616.5031899374,527122.1829505413,24,False
2025-03-04,510719.2341860653,523070.10331865976,520616.5031899374,15,False
2025-03-05,516545.19499606534,524312.0339683964,523070.10331865976,16,False
2025-03-06,516441.20377606543,525194.6629720071,524312.0339683964,14,False
2025-03-07,521636.74323606543,525824.0404521642,525194.6629720071,11,False
2025-03-09,521636.74323606543,523275.56111934816,525824.0404521642,11,False
2025-03-10,519655.27881606546,522471.26323001744,523275.56111934816,8,False
2025-03-11,519655.27881606546,525149.9988952,522471.26323001744,9,False
2025-03-12,518239.8025160655,522655.45107131125,525149.9988952,6,False
2025-03-13,522321.9379360655,526992.3182795799,522655.45107131125,6,False
2025-03-14,522972.4267360655,525583.0143865353,526992.3182795799,5,False
2025-03-16,522972.4267360655,531101.4745432291,525583.0143865353,11,False
2025-03-17,521381.05853606545,521270.0295593301,531101.4745432291,10,False
2025-03-18,515442.61853606545,519610.3984403955,521381.05853606545,8,False
2025-03-19,512971.52073606546,524999.6911134569,519610.3984403955,14,False
2025-03-20,517735.42846606544,525720.2117927643,524999.6911134569,12,False
2025-03-21,519029.94186606543,523521.3820957854,525720.2117927643,10,False
2025-03-23,519029.94186606543,523682.750309825,523521.3820957854,10,False
2025-03-24,520832.82193606545,523605.7132565217,523682.750309825,7,False
2025-03-25,520832.82193606545,523216.91053720785,523605.7132565217,7,False
2025-03-26,520832.82193606545,522829.7014068713,523216.91053720785,8,False
2025-03-27,520832.82193606545,525726.3623974425,522829.7014068713,11,False
2025-03-28,521470.60733606544,524456.5900494542,525726.3623974425,14,False
2025-03-30,518347.35733606544,522034.9093886064,524456.5900494542,18,False
2025-03-31,517456.10873606545,534304.6014398198,522034.9093886064,23,False
2025-04-01,521349.82973606547,531781.0603998492,534304.6014398198,30,False
2025-04-02,525405.8129460654,532492.5353255521,531781.0603998492,30,False
2025-04-03,527066.7210460656,534822.1463239645,532492.5353255521,24,False
2025-04-04,552622.2451560657,563931.9599814129,534822.1463239645,14,False
2025-04-06,546144.8851560657,569598.2807210952,563931.9599814129,18,False
2025-04-07,552004.8189460657,563258.8108516298,569598.2807210952,9,False
2025-04-08,565579.5904460658,581743.4906118845,563258.8108516298,9,False
2025-04-09,581831.2268560658,585632.1778516385,581743.4906118845,9,False
2025-04-10,581831.2268560658,587892.062464441,585632.1778516385,11,False
2025-04-11,587043.3000960657,579580.3674448148,587892.062464441,9,False
2025-04-13,587043.3000960657,578123.4560650962,587043.3000960657,11,False
2025-04-14,578999.8873960658,577824.5744766359,587043.3000960657,11,False
2025-04-15,576233.7724960657,574184.9381342712,578999.8873960658,9,False
2025-04-16,576233.7724960657,573513.7521117907,576233.7724960657,9,False
2025-04-17,576233.7724960657,571629.253672913,576233.7724960657,9,False
2025-04-18,576233.7724960657,572664.6207483424,576233.7724960657,9,False
2025-04-20,576233.7724960657,572865.6002296587,576233.7724960657,9,False
2025-04-21,569184.8324960658,574761.9714549615,576233.7724960657,8,False
2025-04-22,573852.2465160658,578381.1168283365,574761.9714549615,8,False
2025-04-23,573852.2465160658,578101.316843251,578381.1168283365,9,False
2025-04-24,573852.2465160658,576372.5160519353,578101.316843251,9,False
2025-04-25,574437.2497160658,576938.4793914481,576372.5160519353,8,False
2025-04-27,574437.2497160658,579605.759928746,576938.4793914481,11,False
2025-04-28,574437.2497160658,580681.611049169,579605.759928746,13,False
2025-04-29,574437.2497160658,585256.2627931611,580681.611049169,14,False
2025-04-30,574437.2497160658,591120.0177909422,585256.2627931611,22,False
2025-05-01,575778.5992160658,589887.9018718542,591120.0177909422,25,False
2025-05-02,585031.5942760658,584231.5758089958,589887.9018718542,20,False
2025-05-04,585031.5942760658,586371.7769092347,585031.5942760658,24,False
2025-05-05,585753.2909760658,591146.7826068413,586371.7769092347,25,False
2025-05-06,588641.0741760657,593515.8680493177,591146.7826068413,24,False
2025-05-07,592597.8136260657,599683.2298881097,593515.8680493177,23,False
2025-05-08,592089.8300260657,595489.4364250043,599683.2298881097,22,False
2025-05-09,601700.6980460656,600512.3286318228,595489.4364250043,20,False
2025-05-11,601700.6980460656,600316.1507670943,601700.6980460656,25,False
2025-05-12,601928.8752060656,582984.2067305536,601700.6980460656,23,False
2025-05-13,595768.2818060657,583653.61038236,601928.8752060656,21,False
2025-05-14,596496.5818060657,589274.960277902,595768.2818060657,23,False
2025-05-15,597955.3837060657,590931.4932710996,596496.5818060657,21,False
2025-05-16,597955.3837060657,589155.0817549035,597955.3837060657,21,False
2025-05-18,597955.3837060657,593014.2638899961,597955.3837060657,24,False
2025-05-19,599462.3185060658,595504.4975604485,597955.3837060657,24,False
2025-05-20,599462.3185060658,610669.2827366671,599462.3185060658,26,False
2025-05-21,604228.1818660657,610220.8557159094,610669.2827366671,28,False
2025-05-22,604979.2931660657,607050.6860707637,610220.8557159094,30,False
2025-05-23,602035.9171660658,607022.1891843379,607050.6860707637,31,False
2025-05-25,602793.2800660657,607527.5241447557,607022.1891843379,33,False
2025-05-26,599143.5500660657,617019.6624693924,607527.5241447557,35,False
2025-05-27,602287.2655660658,618342.3172240787,617019.6624693924,35,False
2025-05-28,607288.7432460657,612986.9384827581,618342.3172240787,32,False
2025-05-29,611410.6411660657,626744.5399834194,612986.9384827581,31,False
2025-05-30,616180.3628060656,628023.1050208732,626744.5399834194,29,False
2025-06-01,616180.3628060656,626416.3238190243,628023.1050208732,29,False
2025-06-02,616180.3628060656,628490.7268099054,626416.3238190243,33,False
2025-06-03,613944.6830060655,626073.0939594851,628490.7268099054,30,False
2025-06-04,614949.0603060656,626506.5811963555,626073.0939594851,29,False
2025-06-05,607534.5247260656,611766.4588973023,626506.5811963555,26,False
2025-06-06,603877.0447260656,607883.1858493703,611766.4588973023,25,False
2025-06-08,603877.0447260656,607324.7955124099,607883.1858493703,27,False
2025-06-09,605383.2898260657,612322.110067356,607324.7955124099,27,False
2025-06-10,601691.0498260657,611808.0499977231,612322.110067356,26,False
2025-06-11,606597.0115660657,618775.8332514849,611808.0499977231,27,False
2025-06-12,607357.1212660657,626398.6144367077,618775.8332514849,29,False
2025-06-13,609606.5240960658,627365.7131288708,626398.6144367077,26,False
2025-06-15,605922.5040960658,619783.4085053805,627365.7131288708,26,False
2025-06-16,607428.4924960658,612562.5092794582,619783.4085053805,25,False
2025-06-17,595791.8024960659,610774.7798386218,612562.5092794582,22,False
2025-06-18,595791.8024960659,608432.8144926844,610774.7798386218,24,False
2025-06-19,598690.0926960658,607232.3799031321,608432.8144926844,23,False
2025-06-20,598690.0926960658,615865.5458725268,607232.3799031321,25,False
2025-06-22,595045.9826960658,613232.1938590534,615865.5458725268,28,False
2025-06-23,580434.8215260657,608457.2351003208,613232.1938590534,28,False
2025-06-24,582646.4577260658,608127.4660582914,608457.2351003208,26,False
2025-06-25,579150.8877260658,610945.9453884673,608127.4660582914,27,False
2025-06-26,604995.5964260658,617774.5121062348,610945.9453884673,20,False
2025-06-27,607106.4826660658,620523.9555120985,617774.5121062348,17,False
2025-06-29,607106.4826660658,621331.3580631664,620523.9555120985,17,False
2025-06-30,607106.4826660658,621700.6668824592,621331.3580631664,19,False
2025-07-01,609335.8623260658,625177.261264833,621700.6668824592,18,False
2025-07-02,611949.8452660658,623881.3481657417,625177.261264833,18,False
2025-07-03,612671.4681660658,621390.0669256699,623881.3481657417,17,False
2025-07-04,612671.4681660658,620339.8390536535,621390.0669256699,17,False
2025-07-06,612671.4681660658,626779.8506658128,620339.8390536535,19,False
2025-07-07,616025.8054360657,629522.7129861286,626779.8506658128,18,False
2025-07-08,612845.6854360657,628832.0844205434,629522.7129861286,17,False
2025-07-09,609282.3554360657,628878.931895804,628832.0844205434,16,False
2025-07-10,614731.5884560656,628281.0725595178,628878.931895804,16,False
2025-07-11,611278.0984560656,630214.4226631275,628281.0725595178,15,False
2025-07-13,611278.0984560656,629536.6947889813,630214.4226631275,16,False
2025-07-14,616253.5610160657,634725.9754457122,629536.6947889813,18,False
2025-07-15,621958.9596560657,637329.2003923245,634725.9754457122,18,False
2025-07-16,625415.7606860658,639838.2689018121,637329.2003923245,16,False
2025-07-17,626956.5138860657,639397.513905525,639838.2689018121,15,False
2025-07-18,626956.5138860657,639773.6165422146,639397.513905525,15,False
2025-07-20,626956.5138860657,639583.2568564399,639773.6165422146,16,False
