symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
CHF_JPY,bullish,15,5,True,2018-08-23 00:00:00,2018-08-23 00:00:00,112.445,2018-09-18 05:45:00,116.47107426266177,TP3,0.11,131.08638890718373,0.44,219.04181210415814
GBP_JPY,bearish,15,5,True,2018-09-04 00:00:00,2018-09-05 13:00:00,144.31530347,2018-09-18 06:15:00,147.71871201318658,SL,0.06,137.07702251654712,0.24,-137.31702251654713
GBP_USD,bearish,15,5,True,2018-08-21 00:00:00,2018-08-21 17:45:00,1.2899098011999999,2018-09-18 22:15:00,1.3174151175108206,SL,0.05,130.22697023178054,0.2,-130.42697023178053
XAG_USD,bearish,15,5,True,2018-08-16 00:00:00,2018-08-28 09:15:00,14.984711713294983,2018-09-21 00:15:00,14.37123933524971,SL,0.05,131.50162239598305,0.2,151.02686575538053
AUD_JPY,bearish,15,5,True,2018-09-14 00:00:00,2018-09-14 00:00:00,80.18966088,2018-09-21 00:15:00,82.0445268571327,SL,0.12,142.51346934781023,0.48,-142.99346934781022
CHF_JPY,bullish,15,5,True,2018-09-19 00:00:00,2018-09-19 11:00:00,115.91254733999999,2018-09-27 15:45:00,115.91254733999999,SL,0.13,141.52119776880954,0.52,16.462543732257146
XAG_USD,bearish,15,5,True,2018-09-24 00:00:00,2018-09-25 13:30:00,14.4721693962574,2018-09-28 12:45:00,14.4721693962574,SL,0.06,141.0362324691297,0.24,16.684347896295563
CAD_CHF,bearish,15,5,True,2018-09-11 00:00:00,2018-09-11 20:00:00,0.7437220632,2018-09-28 19:15:00,0.7582194723116726,SL,0.1,140.55225925936264,0.4,-140.95225925936265
USD_CAD,bullish,14,4,False,2018-09-05 00:00:00,2018-09-11 20:00:00,1.3080699908999998,2018-10-01 00:00:00,1.2865845649772136,SL,0.09,140.55225925936264,0.36,-140.91225925936266
USD_JPY,bullish,14,4,False,2018-08-24 00:00:00,2018-08-31 00:00:00,110.90487756,2018-10-01 07:00:00,113.97863320563924,TP3,0.14,132.54889652488038,0.56,218.1456792660528
EUR_CHF,bearish,15,5,True,2018-08-16 00:00:00,2018-08-24 14:15:00,1.1421819124,2018-10-01 08:45:00,1.1421819124,SL,0.06,131.3600490959633,0.24,15.523205891515595
XAG_USD,bearish,15,5,True,2018-10-01 00:00:00,2018-10-01 00:00:00,14.617618334913251,2018-10-02 12:45:00,14.617618334913251,SL,0.09,140.63807163091624,0.36,16.516568595709952
GBP_USD,bearish,15,5,True,2018-09-19 00:00:00,2018-09-21 13:00:00,1.3067453808,2018-10-05 12:30:00,1.3067453808,SL,0.07,141.0362324691297,0.28,16.64434789629556
