ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp
1000220,USD_CAD,buy,0.11,1.4288,1.4122215805459066,2025-03-17 16:00:00+00:00,2025-04-03 08:30:00+00:00,-182.36261399502786,1.4122215805459066,0
1000372,NZD_USD,sell,0.15,0.57164,0.5798368027021872,2025-03-28 03:15:00+00:00,2025-04-03 08:45:00+00:00,-122.95204053280716,0.5798368027021872,0
1000153,XAG_USD,buy,0.01,31.92340781021118,32.33369590574013,2025-03-11 00:45:00+00:00,2025-04-03 12:00:00+00:00,20.514404776447392,32.33369590574013,0
1000089,GBP_CHF,buy,0.09,1.13838,1.1266873940017732,2025-03-06 17:00:00+00:00,2025-04-03 14:00:00+00:00,-105.23345398404071,1.1266873940017732,0
1000396,EUR_CAD,buy,0.08,1.54368,1.5503235757826095,2025-04-01 19:45:00+00:00,2025-04-03 16:30:00+00:00,53.14860626087637,1.5503235757826095,0
1000404,EUR_CHF,buy,0.17,0.95230902,0.9459560257999262,2025-04-02 22:15:00+00:00,2025-04-04 04:15:00+00:00,-108.00090140125351,0.9459560257999262,0
1000397,GBP_JPY,buy,0.06,193.356,190.43214891255928,2025-04-01 07:30:00+00:00,2025-04-04 04:45:00+00:00,-175.43106524644259,190.43214891255928,0
1000403,GBP_USD,buy,0.09999999999999999,1.2951089,1.2990179516551976,2025-04-02 14:30:00+00:00,2025-04-04 08:00:00+00:00,39.09051655197615,1.2990179516551976,0
1000395,EUR_AUD,buy,0.019999999999999997,1.7191,1.8086041714403278,2025-04-01 19:45:00+00:00,2025-04-04 11:45:00+00:00,179.00834288065545,1.8086041714403278,0
1000031,EUR_USD,buy,0.019999999999999993,1.04710528,1.096384824219562,2025-03-04 05:00:00+00:00,2025-04-04 14:45:00+00:00,98.55908843912383,1.096384824219562,0
1000239,USD_CHF,sell,0.049999999999999996,0.8815404,0.8566895910027599,2025-03-18 01:45:00+00:00,2025-04-04 15:00:00+00:00,124.25404498620061,0.8566895910027599,0
1000415,GBP_CAD,buy,0.11,1.84668,1.831754136609095,2025-04-03 14:00:00+00:00,2025-04-04 16:00:00+00:00,-164.18449729995578,1.831754136609095,0
1000409,CAD_JPY,sell,0.06,104.151584,103.22926165364146,2025-04-02 12:15:00+00:00,2025-04-04 16:30:00+00:00,55.339340781512476,103.22926165364146,0
1000429,XAU_USD,buy,0.02,3061.5561884765625,3003.7813436859933,2025-04-04 13:30:00+00:00,2025-04-07 00:00:00+00:00,-115.54968958113841,3003.7813436859933,0
1000233,NZD_CHF,sell,0.020000000000000014,0.51242,0.47569285764152497,2025-03-17 17:30:00+00:00,2025-04-07 01:15:00+00:00,73.45428471695008,0.47569285764152497,0
1000289,CHF_JPY,sell,0.06,168.735,171.62469675031957,2025-03-20 08:30:00+00:00,2025-04-07 07:15:00+00:00,-173.3818050191735,171.62469675031957,0
1000419,CAD_CHF,sell,0.11000000000000001,0.61567202,0.6066605208143572,2025-04-03 01:30:00+00:00,2025-04-07 14:00:00+00:00,99.12649104207094,0.6066605208143572,0
1000424,GBP_AUD,buy,0.03,2.08029756,2.097841331425127,2025-04-04 02:15:00+00:00,2025-04-07 14:00:00+00:00,52.631314275381584,2.097841331425127,0
1000284,GBP_NZD,buy,0.049999999999999996,2.25708872,2.271724770763978,2025-03-20 10:30:00+00:00,2025-04-09 17:15:00+00:00,73.18025381988889,2.271724770763978,0
1000431,EUR_USD,buy,0.060000000000000005,1.09066,1.0974980937314374,2025-04-07 15:00:00+00:00,2025-04-09 17:15:00+00:00,41.0285623886244,1.0974980937314374,0
1000232,NZD_JPY,sell,0.06999999999999999,86.163504,82.654,2025-03-17 13:00:00+00:00,2025-04-09 17:30:00+00:00,245.66528000000045,83.83174497100984,0
1000276,EUR_JPY,buy,0.06,161.482,161.442,2025-03-20 06:15:00+00:00,2025-04-09 17:30:00+00:00,-2.3999999999995225,158.70473617616673,0
1000306,SPX500_USD,sell,0.39,5741.637,5456.90000234,2025-03-24 00:00:00+00:00,2025-04-09 17:30:00+00:00,111.04742908739975,5481.847992257848,0
1000356,EUR_GBP,buy,0.06999999999999999,0.83242444,0.86092,2025-03-27 16:00:00+00:00,2025-04-09 17:30:00+00:00,199.4689199999998,0.844232706190811,0
1000380,AUD_NZD,sell,0.16000000000000003,1.1001,1.08755,2025-03-28 06:15:00+00:00,2025-04-09 17:30:00+00:00,200.80000000000103,1.0887682214048091,0
1000413,AUD_USD,sell,0.07,0.63285,0.61266,2025-04-03 08:30:00+00:00,2025-04-09 17:30:00+00:00,141.3300000000003,0.6195765836924302,0
1000426,AUD_CHF,sell,0.04,0.54262442,0.52134,2025-04-04 00:45:00+00:00,2025-04-09 17:30:00+00:00,85.13767999999988,0.5349334927268942,0
1000427,AUD_CAD,sell,0.06,0.8873882,0.86384,2025-04-04 01:45:00+00:00,2025-04-09 17:30:00+00:00,141.28919999999943,0.8788258168236911,0
1000428,NZD_CAD,sell,0.08,0.8097941,0.79432,2025-04-04 02:45:00+00:00,2025-04-09 17:30:00+00:00,123.79279999999946,0.8028169314009491,0
1000421,NZD_USD,sell,0.060000000000000005,0.57199596,0.5633,2025-04-04 04:15:00+00:00,2025-04-09 17:30:00+00:00,52.175759999999684,0.5654500756441344,0
1000434,USD_CAD,sell,0.08,1.4293924,1.41014,2025-04-07 12:15:00+00:00,2025-04-09 17:30:00+00:00,154.01920000000047,1.4293924,0
1000439,CAD_JPY,sell,0.07,103.776,104.056,2025-04-07 14:00:00+00:00,2025-04-09 17:30:00+00:00,-19.600000000000083,106.56192330006353,0
1000465,XAU_USD,buy,0.01,3061.5561884765625,3064.01,2025-04-09 11:15:00+00:00,2025-04-09 17:30:00+00:00,2.4538115234377074,2929.578659445325,0
1000514,NZD_CAD,sell,0.13,0.80787,0.8230683163333136,2025-04-11 03:45:00+00:00,2025-04-15 12:15:00+00:00,-197.57811233307663,0.8230683163333136,0
1000471,AUD_USD,sell,0.09,0.62238,0.638335092851786,2025-04-10 14:45:00+00:00,2025-04-16 14:45:00+00:00,-143.59583566607378,0.638335092851786,0
1000490,CAD_JPY,sell,0.06,104.151584,103.14274653728286,2025-04-10 00:30:00+00:00,2025-04-22 22:00:00+00:00,60.53024776302834,103.14274653728286,0
1000491,CAD_CHF,sell,0.06999999999999999,0.6017351799999999,0.5963811418291787,2025-04-10 08:15:00+00:00,2025-04-22 22:00:00+00:00,37.47826719574876,0.5963811418291787,0
1000481,GBP_AUD,buy,0.04,2.08382,2.09921,2025-04-10 03:00:00+00:00,2025-04-30 00:00:00+00:00,61.56000000000006,2.0318878380616763,0
1000477,EUR_CAD,buy,0.09,1.54181094,1.57519,2025-04-10 07:00:00+00:00,2025-04-30 00:00:00+00:00,300.4115400000011,1.5491726542857143,0
1000472,NZD_USD,buy,0.04,0.57395,0.59364,2025-04-10 12:30:00+00:00,2025-04-30 00:00:00+00:00,78.75999999999993,0.5856099685056193,0
1000467,GBP_USD,buy,0.03,1.29707,1.34097,2025-04-10 15:30:00+00:00,2025-04-30 00:00:00+00:00,131.70000000000013,1.3094647398194434,0
1000552,EUR_NZD,buy,0.05,1.9128,1.91894,2025-04-15 11:15:00+00:00,2025-04-30 00:00:00+00:00,30.700000000000173,1.864039727469153,0
1000559,AUD_CAD,sell,0.08,0.88566,0.88328,2025-04-15 12:30:00+00:00,2025-04-30 00:00:00+00:00,19.04000000000039,0.9100014145072174,0
1000561,NZD_JPY,sell,0.08,84.996616,84.464,2025-04-15 13:45:00+00:00,2025-04-30 00:00:00+00:00,42.60928000000035,87.45814795741948,0
1000656,EUR_JPY,buy,0.09,161.714,162.02,2025-04-22 03:00:00+00:00,2025-04-30 00:00:00+00:00,27.540000000001044,159.45576869689566,0
1000666,NZD_CHF,sell,0.06,0.49228624,0.4889,2025-04-22 23:00:00+00:00,2025-04-30 00:00:00+00:00,20.317439999999905,0.5105927197099799,0
1000670,SPX500_USD,sell,0.53,5350.2195,5569.06005859,2025-04-23 00:00:00+00:00,2025-04-30 00:00:00+00:00,-115.9854960527,5610.826642857143,0
1000671,NAS100_USD,sell,0.13,18766.747,19571.01953125,2025-04-23 00:00:00+00:00,2025-04-30 00:00:00+00:00,-104.55542906250008,19823.943428571427,0
1000728,CAD_JPY,sell,0.11,103.726,102.892,2025-04-25 13:30:00+00:00,2025-04-30 00:00:00+00:00,91.74000000000035,105.60736945123966,0
